model,exact_match_ratio,partial_match_ratio,total_cases
gpt5,0.05,0.95,60
gpt4o,0.03333333333333333,0.9666666666666667,60
claude4,0.016666666666666666,0.9833333333333333,60
medgemma,0.05,0.95,60
qwen3,0.03333333333333333,0.9666666666666667,60
baichuan,0.03333333333333333,0.9666666666666667,60
huatuo,0.06666666666666667,0.9333333333333333,60
deepseekv3,0.05,0.95,60
